Date,Close,High,Low,Open,Volume,High_Low,Close_Open,MA10,MA30,RSI14,Momentum_5,Returns,Volatility20,BB_Width,Position_Flag,Recent_Return
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,
2014-02-13,17.004396438598633,17.01751392936405,16.684877782877887,16.699244637908727,2.31719700016173,-0.8350231073004986,0.14882699865804372,-1.0888845959499702,-1.0813066452964346,0.3415146947753094,1.5342603481836339,0.01587903347015196,0.795112587673765,0.8531717859975602,0,0.8390522660077916
2014-02-14,16.990652084350586,17.052808374739477,16.90382543637235,16.943177909411418,1.8752430703402612,-0.939712605252063,-0.022563737060724266,-1.0866740094592702,-1.0814005184491124,0.3149844233519806,1.113898923140357,-0.000808282393184423,0.7910094564999905,0.7731275633285846,0,-0.11116857369331891
2014-02-18,17.05312728881836,17.21553970883227,17.041257489185845,17.053439213007692,1.7127769002320765,-0.9252910273074593,-0.05434800495322044,-1.0844121191276073,-1.081268448776256,0.3993209459271177,0.7168801437335245,0.0036770339453491285,0.6922228656431748,0.7962541891594068,0,0.14423745400048
2014-02-19,16.783885955810547,17.08122794585677,16.68956146628899,17.01438779908556,2.398860839533387,-0.8013735130596901,-0.20745566989772213,-1.0829052616763837,-1.0813217888465032,-0.12760248616073133,-0.08320079185458941,-0.01578838464334642,0.6958975849290036,0.7319296054225979,0,-0.9641760588714336
2014-02-20,16.589618682861328,16.772334484863947,16.522466593130535,16.64708778086657,2.2974540939400105,-0.8822042435580059,-0.09236531454062905,-1.0818750187127415,-1.081412896152421,-0.46186053402061417,-0.3958659419351302,-0.011574630181633516,0.7097509525362975,0.6304351012957229,0,-0.724233497965021
2014-02-21,16.40534210205078,16.696437362603817,16.385040345641855,16.64084147556828,1.9503738025621855,-0.847130240247371,-0.21077970853918607,-1.0812676437715796,-1.081653259213032,-0.752096875716204,-1.109773749240255,-0.011107945537104036,0.7063385894956297,0.4666207437671201,0,-0.6976592137342822
2014-02-24,16.47718048095703,16.55120492252324,16.316954879102877,16.339755367898416,2.0801744369217072,-0.8911070267749319,0.037265894704816255,-1.080892434577641,-1.0817459836866163,-0.6238059367520853,-0.9739659600847237,0.004378962563497568,0.6677785718909324,0.3885954077213616,0,0.1842071655112859
2014-02-25,16.305706024169922,16.540267925976487,16.27259870288038,16.534334696339904,1.349974076263137,-0.872056789765519,-0.20620975584956508,-1.0812228176883143,-1.0818697058340099,-0.8931704356325537,-1.342953705444624,-0.010406783914595374,0.6645170605290969,0.2590751903944449,0,-0.6577331770269526
2014-02-26,16.158605575561523,16.397541223911205,16.103947104815152,16.354127038788043,1.91745699346161,-0.8572785870078425,-0.18418895027173032,-1.0821100288506482,-1.0821135296334268,-1.1090879780114014,-1.1646935184443146,-0.009021409339181719,-0.7385391669900455,0.20271845525248974,0,-0.5788462066399165
2014-02-27,16.480934143066406,16.51560277071029,16.118001117529637,16.152045896696862,2.2464814996948443,-0.7979902324072536,0.164614969680088,-1.0825033320958626,-1.082361791332961,-0.5200885493203856,-0.3321637131272575,0.019947795990043593,-0.6948255888446233,0.07690566132099591,0,1.0707385941062662
2014-02-28,16.436264038085938,16.639593523166553,16.30758116274012,16.524965581422787,3.144999109941854,-0.8353786897054627,-0.113139146836253,-1.0833705218920462,-1.0828080247380116,-0.5920751959717115,-0.10341376193956536,-0.0027104109871867177,-0.6921590575228043,-0.09070413341392235,0,-0.21948091371341016
2014-03-03,16.48373794555664,16.57400244404136,16.329132010474165,16.34818440175355,1.4375248913081795,-0.885052989799979,0.03602104610487153,-1.0841442689416891,-1.083180243809327,-0.5065520311529373,-0.14373127088567522,0.0028883636427776693,-0.6927320050468966,-0.2875682474033688,0,0.09932843667892811
2014-03-04,16.592435836791992,16.636163610700507,16.484056344824346,16.58494131502312,1.6985261115593084,-0.9379316166066314,-0.04915565458043344,-1.0848474622924393,-1.0832799564074331,-0.31051797135273396,0.32228824960076324,0.006594250138795221,-0.6893114052641464,-0.5202437113560762,0,0.31035162380632453
2014-03-05,16.627410888671875,16.702057494305098,16.526525961959557,16.582435437225236,0.9411523327010263,-0.9245788702991798,-0.024225728692689262,-1.0850863037692806,-1.0834957071562634,-0.24709228699402236,0.6321634500736312,0.0021078913442189595,-0.7331800433883534,-0.6904990833232113,0,0.05488623584965486
2014-03-06,16.57712745666504,16.692379261643072,16.49435913288859,16.640843386363,0.7543126474573011,-0.9117594924522031,-0.09652030889299794,-1.085105370212049,-1.083776226940285,-0.35114615979922537,0.003739296910038534,-0.0030241287921196625,-0.7322411501749408,-0.8464989107626352,0,-0.2373448529157314
2014-03-07,16.56744384765625,16.615543546475212,16.430329014024075,16.58774560359763,1.206102134196499,-0.9190591822408979,-0.06764396714976632,-1.0848579402474745,-1.0841362251245508,-0.37205941234206374,0.06188724985470902,-0.0005841548262268681,-0.7352103905615766,-0.9912897499050649,0,-0.09840614463530056
2014-03-10,16.58243751525879,16.65770964656155,16.50185433342933,16.5024798497445,0.6657926351977379,-0.9357950833570658,-0.000957789194031307,-1.0846972772998222,-1.0843272253672722,-0.33889765783164993,0.007835083937848581,0.0009050079022696611,-0.7890561929282344,-1.0576141087376425,0,-0.013609196467468991
2014-03-11,16.743911743164062,16.826680058409973,16.6345948486063,16.723923578682165,1.956009504883658,-0.9151426279373227,-0.0408456796256651,-1.0840284058751366,-1.0845059253347131,0.0071232470406677574,0.09301803012679101,0.009737665391875483,-0.865051935406696,-1.0554344751711078,0,0.4893461790585441
2014-03-12,16.760150909423828,16.783263315711793,16.616165422214152,16.6945617835831,0.9317116339077314,-0.9293863736688966,-0.01051482612605546,-1.0831102150185747,-1.0839743074370805,0.040800522093276996,0.06194374738460103,0.0009698549842389603,-0.9268979878356172,-1.0563944033005963,0,-0.00991662846038661
2014-03-13,16.57400131225586,16.85541355253499,16.527462905637396,16.786076330803223,1.6806139111872394,-0.837694024975193,-0.19519932036860935,-1.0829681585201107,-1.0834466079857086,-0.431092184987918,-0.15963580274319478,-0.011106677867876558,-0.8812195707271129,-1.063979809896857,0,-0.6975870292243429
2014-03-14,16.387853622436523,16.5815001299098,16.335068385477975,16.515909322904456,1.4172435421895042,-0.8841629816577932,-0.13931502425144204,-1.0830420515394885,-1.0829990867271349,-0.83636613767113,-0.448449631024471,-0.011231306569385091,-0.9536171970355389,-1.129112583367257,0,-0.7046837241253178
